Designator,Mid X,Mid Y,Rotation,Layer
C1,70.617,-102.776,0,top
C1,70.617,-82.776,0,top
C2,70.617,-104.3,0,top
C2,70.617,-84.3,0,top
C3,78.872,-71.727,90,top
C3,78.872,-91.727,90,top
C4,90.1545,-87.221,180,top
C4,90.1545,-107.221,180,top
C5,94.5595,-85.01,0,top
C5,94.5595,-105.01,0,top
C6,94.279,-96.882,0,top
C6,94.279,-76.882,0,top
C7,74.935,-103.8925,-90,top
C7,74.935,-83.8925,-90,top
C8,91.0105,-92.616,0,top
C8,91.0105,-72.616,0,top
C9,73.411,-103.8925,-90,top
C9,73.411,-83.8925,-90,top
D1,86.125,-91.092,180,top
D1,86.125,-71.092,180,top
D2,86.111,-92.616,180,top
D2,86.111,-72.616,180,top
D3,77.7055,-105.57,0,top
D3,77.7055,-85.57,0,top
J1,71.252,-88.11,90,top
J1,71.252,-108.11,90,top
J3,111.892,-79.982,0,top
J3,111.892,-99.982,0,top
P1,64.155,-80,-90,top
P1,64.155,-100,-90,top
R1,64.6715,-92.489,180,top
R1,64.6715,-72.489,180,top
R2,90.1545,-105.697,0,top
R2,90.1545,-85.697,0,top
R3,85.1985,-108.237,180,top
R3,85.1985,-88.237,180,top
R4,90.1515,-88.872,0,top
R4,90.1515,-108.872,0,top
R5,79.6575,-96.426,0,top
R5,79.6575,-76.426,0,top
R6,82.7995,-91.092,0,top
R6,82.7995,-71.092,0,top
R7,82.7995,-92.616,0,top
R7,82.7995,-72.616,0,top
R8,77.7055,-104.046,0,top
R8,77.7055,-84.046,0,top
R9,94.5965,-87.288,180,top
R9,94.5965,-107.288,180,top
R10,94.5965,-88.872,0,top
R10,94.5965,-108.872,0,top
R11,90.9605,-91.092,180,top
R11,90.9605,-71.092,180,top
R12,73.4345,-81.125,180,top
R12,73.4345,-101.125,180,top
R13,73.4345,-79.601,180,top
R13,73.4345,-99.601,180,top
RST1,95.636,-72.108,180,top
RST1,95.636,-92.108,180,top
U1,73.411,-94.648,0,top
U1,73.411,-74.648,0,top
U2,84.714,-101.125,180,top
U2,84.714,-81.125,180,top
Y1,93.985,-80.871,90,top
Y1,93.985,-100.871,90,top
